Group,ID,Pre_engage,Post_engage
A,1001,4,4
A,1002,4,4
A,1003,0,0
A,1004,0,0
A,1005,5,2
A,1006,5,5
A,1007,5,5
A,1008,0,0
A,1009,4,4
A,1010,1,3
A,1011,4,4
A,1012,4,5
A,1013,2,3
A,1014,0,4
A,1015,6,5
A,1016,5,2
A,1017,2,0
A,1018,2,4
A,1019,0,0
A,1020,1,3
A,1021,6,5
A,1022,0,0
A,1023,0,4
A,1024,0,4
A,1025,0,4
B,1026,6,5
B,1027,5,5
B,1028,5,6
B,1029,2,3
B,1030,5,4
B,1031,4,2
B,1032,3,4
B,1033,4,5
B,1034,4,3
B,1035,2,0
B,1036,4,5
B,1037,1,0
B,1038,2,4
B,1039,4,4
B,1040,4,4
B,1041,3,4
B,1042,3,5
B,1043,5,3
B,1044,1,0
B,1045,3,3
B,1046,0,3
B,1047,4,
B,1048,6,4
B,1049,0,
B,1050,6,6
B,1051,1,5
B,1052,4,3
B,1053,6,5
B,1054,0,6
B,1055,4,5
B,1056,4,6
B,1057,3,3
B,1058,0,
B,1059,0,1
B,1060,5,5
B,1061,5,5
B,1062,6,4
B,1063,1,1
B,1064,1,1
B,1065,5,4
B,1066,3,4
B,1067,0,4
B,1068,5,4
B,1069,5,3
B,1070,5,5
C,1071,4,3
C,1072,2,2
C,1073,5,5
C,1074,3,4
C,1075,3,3
C,1076,3,4
C,1077,4,4
C,1078,,
C,1079,5,4
C,1080,,
C,1081,5,
C,1082,4,
C,1083,5,1
C,1084,5,4
C,1085,4,
C,1086,5,5
C,1087,1,3
C,1088,5,5
C,1089,5,1
C,1090,,
C,1091,,
C,1092,3,4
C,1093,6,4
C,1094,3,
C,1095,5,5
C,1096,6,6
C,1097,4,4
C,1098,5,4
C,1099,4,4
C,1100,4,6
C,1101,1,
C,1102,2,3
